"locationID";"distance";"ada.A";"ada.B";"ada.nSamples";"ak2.A";"ak2.B";"ak2.nSamples";"gsr.A";"gsr.B";"gsr.C";"gsr.D";"gsr.E";"gsr.nSamples";"pgm2.A";"pgm2.B";"pgm2.C";"pgm2.D";"pgm2.nSamples";"l5.A";"l5.B";"l5.nSamples";"pscn3.A";"pscn3.B";"pscn3.nSamples";"mtDNA.A";"mtDNA.B";"mtDNA.nSamples";"geneticHybridIndex.mu";"geneticHybridIndex.sigma"
"A";0;0.1;0.9;10;0;1;10;0;0.1;0.9;0;0;10;0;0;1;0;10;0.917;0.083;12;0.917;0.083;12;1;0;10;0.984;0.04
"B";138.25;0.357;0.643;14;0.143;0.857;14;0;0;0.929;0;0.071;14;0;0;1;0;14;0.891;0.109;46;0.848;0.152;46;1;0;14;0.908;0.14
"C";151.75;0.2;0.8;40;0.025;0.975;40;0.025;0.025;0.95;0;0;40;0;0;1;0;40;1;0;40;0.825;0.175;40;1;0;20;0.973;0.05
"D";159.5;0.45;0.55;40;0.025;0.975;40;0.075;0.075;0.85;0;0;40;0;0;0.975;0.025;40;0.825;0.175;40;0.825;0.175;40;1;0;20;0.912;0.1
"E";182.25;0.31;0.69;42;0.024;0.976;42;0.048;0.024;0.905;0.024;0;42;0;0.048;0.952;0;42;0.952;0.048;42;0.833;0.167;42;1;0;21;0.936;0.1
"G";198.5;0.545;0.455;22;0;1;20;0;0;1;0;0;22;0;0;1;0;20;0.875;0.125;24;0.833;0.167;24;1;0;12;0.923;0.07
"H";201.25;0.568;0.432;44;0.091;0.909;44;0;0.023;0.955;0.023;0;44;0;0.068;0.932;0;44;0.864;0.136;44;0.841;0.159;44;0.9;0.091;22;0.867;0.16
"I";210;0.442;0.558;52;0.615;0.385;52;0;0.173;0.731;0.096;0;52;0;0.654;0.308;0.038;52;0.327;0.673;52;0.288;0.712;52;0.385;0.615;26;0.325;0.28
"J";230.75;0.625;0.375;40;0.975;0.025;40;0;0.225;0.425;0.35;0;40;0;0.875;0.075;0.05;40;0.125;0.875;40;0.075;0.925;40;0.05;0.95;20;0.056;0.08
"K";319.5;0.425;0.575;40;0.895;0.105;38;0;0.45;0.375;0.175;0;40;0;0.8;0.033;0.167;30;0;1;40;0.025;0.975;40;0.1;0.9;20;0.043;0.07
"L";569.5;0.675;0.325;40;1;0;40;0;0.225;0.725;0.05;0;40;0.025;0.625;0.3;0.05;40;0;1;40;0;1;40;0;1;20;0.005;0.02
